130 NCAP Cities,mean_ammonium_sulfate_ug/m3,mean_pm2.5_ug/m3,sulfate_fraction_%,distance_to_closest_tpp_km,closest_tpp_sno
Baddi,11.092865943908691,36.19631576538086,30.64639510775351,21.839994653969303,125
Damtal,11.55977725982666,42.21549606323242,27.38278200619001,105.2322278936358,47
Kala Amb,11.752724647521973,38.55272674560547,30.484807793424462,44.92550129536621,177
Nalagarh,11.092865943908691,36.19631576538086,30.64639510775351,11.2809844986649,125
Paonta Sahib,10.291048049926758,34.19917678833008,30.0915080898626,45.86550349322933,177
Parwanoo,11.092865943908691,36.196311950683594,30.64639833754995,42.123357738489545,125
Sunder Nagar,8.34570598602295,29.43101692199707,28.356838664943567,61.3916247233874,125
Jammu,10.465571403503418,40.29435348510742,25.97279891181636,151.35160266639727,47
Srinagar,3.9089982509613037,16.617748260498047,23.523032059965434,301.1608981399751,47
Dhanbad,20.678781509399414,50.20088195800781,41.19206815270071,21.839922911329765,131
Jamshedpur,20.58754539489746,50.90020751953125,40.44687909572408,7.223329564104387,57
Ranchi,17.228473663330078,41.691375732421875,41.32383103379368,63.00435894129633,154
Bangalore,7.201390266418457,19.127613067626953,37.64918414523266,134.83425171279222,91
Devanagere,7.435044288635254,21.093917846679688,35.24733689908428,112.86787126742982,158
Gulbrga,11.532444953918457,29.248058319091797,39.42977967323938,93.68145378475317,144
Hubli-Dharwad,8.446513175964355,23.623611450195312,35.7545381821564,146.8331400904359,77
Bhopal,12.996122360229492,35.94163513183594,36.158962475020914,138.24251473340544,22
Dewas,12.376190185546875,34.223915100097656,36.16240324740509,102.05965863516253,69
Gwalior,14.799811363220215,43.477264404296875,34.04034629593104,96.86040614088583,110
Indore,12.227922439575195,34.26067352294922,35.690840786841,72.46769082915618,69
Jabalpur,14.711766242980957,36.85175323486328,39.92148256616192,48.01363323856872,134
Sagar,14.032123565673828,37.24738311767578,37.672776960846065,81.13818578322515,22
Ujjain,12.065863609313965,33.884334564208984,35.60897318626637,123.23621397666723,69
Akola,12.611897468566895,33.2917594909668,37.882940587711914,22.284641997184128,109
Amaravati,13.127822875976562,34.70893478393555,37.82260376959928,22.572028450521806,4
Aurangabad,11.458780288696289,30.340072631835938,37.76780770350745,131.7112274985366,100
Badlapore,12.324788093566895,37.796382904052734,32.60837981468688,40.02295715084094,160
Chandrapur,15.808731079101562,38.010135650634766,41.590830467971664,4.996722064759719,29
Jalgaon,12.007855415344238,32.87405776977539,36.526842835886036,30.723066456259655,21
Jalna,11.654773712158203,30.607439041137695,38.078238746122125,123.92897917388395,111
Kolhapur,9.30666446685791,25.83553123474121,36.02273312012713,127.7358415823983,58
Latur,12.058448791503906,30.15422821044922,39.98924697175749,55.24143593611717,111
Mumbai,12.312074661254883,38.41804885864258,32.04763132702701,8.387205205836642,160
Nagpur,15.070352554321289,37.84919357299805,39.81683922870318,10.682394248972958,72
Nashik,11.137459754943848,30.685033798217773,36.29606481186514,10.847154694613195,99
Navi Mumbai,12.324789047241211,37.796382904052734,32.60838233787625,14.273028808884211,160
Pune,11.060145378112793,29.56715965270996,37.40685783830129,114.32871029784829,160
Sangli,9.626564979553223,25.944408416748047,37.104584636969136,139.25640223474963,77
Solapur,10.692172050476074,27.642072677612305,38.68078987845152,14.525066979686056,144
Thane,12.200852394104004,37.57767105102539,32.468357013229735,25.316388772956742,160
Ulhas Nagar,12.187193870544434,37.55356979370117,32.45282389262653,37.0587369782063,160
Vasai Virar,11.806309700012207,38.7799186706543,30.444390047022786,43.517436771712916,160
Byrnihat,11.200254440307617,32.015010833740234,34.98438435167982,156.28467192803558,25
Dimapur,8.632166862487793,25.41027069091797,33.97117239515699,341.00942132707377,25
Kohima,6.890249729156494,20.27786636352539,33.979165291030135,383.9502197041265,25
Angul,17.617218017578125,43.84109115600586,40.18425991015672,17.399600752290503,64
Balasore,20.66730499267578,51.61503982543945,40.04124585115501,138.53709013573211,52
Bhubaneshwar,18.20765495300293,45.10219192504883,40.369778442831674,86.1776729688371,64
Cuttack,18.430105209350586,45.493778228759766,40.51126533539842,78.49235488548392,64
Kalinga Nagar,18.142690658569336,45.010459899902344,40.30772113619017,83.98102942644412,64
Rourkela,16.298646926879883,40.83132553100586,39.91701644489417,104.53366032847295,35
Talcher,17.617218017578125,43.84109115600586,40.18425991015672,10.234866837948086,64
Amritsar,15.821304321289062,55.57538986206055,28.46818413790334,38.02648999239042,47
Dera Bassi,13.214402198791504,42.906280517578125,30.798293488473654,26.061832481173926,121
Gobindgarh,15.9480562210083,51.5587272644043,30.93182680639734,29.82175371414908,121
Jalandhar,15.001837730407715,51.55064392089844,29.1011645818182,41.38850273438529,47
Khanna,15.76653003692627,51.02586364746094,30.89909490970628,38.271643133510565,121
Ludhiana,16.200387954711914,54.37887954711914,29.791691350819992,71.20686143772677,125
Naya Nangal,12.30090045928955,42.0644645690918,29.24297405256414,44.04296479647469,125
Pathankot/Dera Baba,10.419194221496582,38.68593215942383,26.9327728192236,109.60518684222993,47
Patiala,15.948055267333984,51.5587272644043,30.93182495671181,30.429117966056378,121
Alwar,15.50710391998291,48.80268859863281,31.775101670151294,106.4460822045525,55
Jaipur,11.839848518371582,40.32652282714844,29.359953916980942,183.29531945171806,84
Jodhpur,8.356242179870605,40.79326629638672,20.484366510780635,174.13031865426797,56
Kota,11.777719497680664,38.09965515136719,30.912929397624815,6.75797817198022,76
Udaipur,9.528502464294434,34.103111267089844,27.940273219263783,181.84549199926178,44
Chennai,8.500714302062988,25.35898208618164,33.521512311391675,17.24469098580449,169
Madurai,6.165483474731445,20.98919105529785,29.374564548428484,112.01908586352019,90
Thoothukudi,5.850733757019043,21.56706428527832,27.12809531992147,4.009994888053092,163
Trichy,6.740940093994141,22.217700958251953,30.340403386744047,116.21228643395482,102
Hyderabad,12.705621719360352,31.72548484802246,40.04862898148057,92.87348027156243,143
Nalgonda,12.423711776733398,32.084983825683594,38.721265512337226,0.42077632825271,143
Sangareddy,12.398231506347656,30.968412399291992,40.03508913046866,140.5356982129502,143
Agra,16.817108154296875,50.22782516479492,33.481657027993556,93.94916801832693,48
Allahabad,20.586994171142578,53.29387664794922,38.62919244388422,32.574842884083715,113
Anpara,18.15091896057129,42.914852142333984,42.29519165153094,0.6750717147545087,5
Bareily,19.316293716430664,55.226112365722656,34.976739967703686,68.64176401231204,15
Firozabad,16.960399627685547,50.452030181884766,33.61688234654098,98.6633741194351,48
Gajraula,18.504247665405273,54.84342956542969,33.740135896004105,67.23596520697751,33
Ghaziabad,19.755617141723633,58.23237991333008,33.92548470649289,16.751802036953038,33
Gorakhpur,20.600313186645508,54.26047134399414,37.96559940669529,79.13988099072857,152
Jhansi,15.245171546936035,42.693599700927734,35.70833018000297,20.236871312194904,110
Kanpur,19.59856414794922,53.04026794433594,36.95034906029752,115.88202089134923,167
Khurja,19.345853805541992,56.81092071533203,34.0530545218236,37.262077602304714,48
Lucknow,20.858102798461914,55.59892272949219,37.51530025130834,110.13671358971172,167
Meerut,19.186128616333008,57.15541458129883,33.56834826041255,43.360700635935764,33
Moradabad,17.754945755004883,52.2132682800293,34.00466268417036,110.69858621898503,48
Noida,19.755617141723633,58.23237991333008,33.92548470649289,22.489227030369076,33
Raebareli,20.177629470825195,53.4723014831543,37.734731648275655,34.1387374428121,167
Varansi,21.633771896362305,54.732444763183594,39.52641251449179,96.71259412893453,106
Dehradun,9.656394004821777,30.968408584594727,31.181434391256914,71.76127183972143,177
Kashipur,17.191234588623047,50.64459991455078,33.94485220068607,132.98075811980362,15
Rishikesh,13.27054500579834,40.31740188598633,32.91517901705607,92.38667342553171,177
Asanol,21.023479461669922,53.96223449707031,38.95961621606184,25.59569856079186,85
Barrackpore,21.4195499420166,54.14121627807617,39.56237302095887,4.243789339978582,157
Durgapur,20.794309616088867,53.72034454345703,38.708444245489396,0.9848032794447585,32
Haldia,21.498741149902344,54.28584671020508,39.60284761637667,2.2208851105359764,52
Howrah,21.656578063964844,54.595985412597656,39.666978991769845,5.862263055329882,145
Kolkata,21.656578063964844,54.595985412597656,39.666978991769845,7.835338664704573,145
